image_id,image_path,crown_mask,root_mask,combined_mask,multiclass_mask,width,height,has_multiclass,split,source_json,source_image
lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf_,images/lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf_.jpg,masks_crown/lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf__crown.png,masks_root/lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf__root.png,masks_combined/lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf__combined.png,masks_multiclass/lm_0001_026aa6de49ce486cbe7805b1f7d0653b_png_rf_.png,640,640,True,train,026aa6de49ce486cbe7805b1f7d0653b_png.rf.2767a36c40c2f5cd699a7d500367b104.json,026aa6de49ce486cbe7805b1f7d0653b_png.rf.2767a36c40c2f5cd699a7d500367b104.jpg
lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf_,images/lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf_.jpg,masks_crown/lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf__crown.png,masks_root/lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf__root.png,masks_combined/lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf__combined.png,masks_multiclass/lm_0002_0bb3e56752a94128a0eb08c3da4e21bf_png_rf_.png,640,640,True,train,0bb3e56752a94128a0eb08c3da4e21bf_png.rf.1f84805a8a959a4be7d684c88dab7155.json,0bb3e56752a94128a0eb08c3da4e21bf_png.rf.1f84805a8a959a4be7d684c88dab7155.jpg
lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf_,images/lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf_.jpg,masks_crown/lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf__crown.png,masks_root/lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf__root.png,masks_combined/lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf__combined.png,masks_multiclass/lm_0003_0d64aea7ea294aaeb11f3bb1dab9dda6_png_rf_.png,640,640,True,train,0d64aea7ea294aaeb11f3bb1dab9dda6_png.rf.2b4f08a0c5344161a058a527018f91b1.json,0d64aea7ea294aaeb11f3bb1dab9dda6_png.rf.2b4f08a0c5344161a058a527018f91b1.jpg
lm_0004_10,images/lm_0004_10.jpg,masks_crown/lm_0004_10_crown.png,masks_root/lm_0004_10_root.png,masks_combined/lm_0004_10_combined.png,masks_multiclass/lm_0004_10.png,225,225,True,test,10.json,10.jpeg
lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8,images/lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8.jpg,masks_crown/lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8_crown.png,masks_root/lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8_root.png,masks_combined/lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8_combined.png,masks_multiclass/lm_0005_101_jpg_rf_62d30823998b4c909e52f0f74adc8.png,640,640,True,train,101_jpg.rf.62d30823998b4c909e52f0f74adc83d1.json,101_jpg.rf.62d30823998b4c909e52f0f74adc83d1.jpg
lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf_,images/lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf_.jpg,masks_crown/lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf__crown.png,masks_root/lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf__root.png,masks_combined/lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf__combined.png,masks_multiclass/lm_0006_1045ed4209df4054b66f9162d71adec9_png_rf_.png,640,640,True,train,1045ed4209df4054b66f9162d71adec9_png.rf.f1cb38530a1000f69e88db0643a3aa69.json,1045ed4209df4054b66f9162d71adec9_png.rf.f1cb38530a1000f69e88db0643a3aa69.jpg
lm_0007_116,images/lm_0007_116.jpg,masks_crown/lm_0007_116_crown.png,masks_root/lm_0007_116_root.png,masks_combined/lm_0007_116_combined.png,masks_multiclass/lm_0007_116.png,224,300,True,train,116.json,116.png
lm_0008_1347291d5e2c446db4992123a5043745_png_rf_,images/lm_0008_1347291d5e2c446db4992123a5043745_png_rf_.jpg,masks_crown/lm_0008_1347291d5e2c446db4992123a5043745_png_rf__crown.png,masks_root/lm_0008_1347291d5e2c446db4992123a5043745_png_rf__root.png,masks_combined/lm_0008_1347291d5e2c446db4992123a5043745_png_rf__combined.png,masks_multiclass/lm_0008_1347291d5e2c446db4992123a5043745_png_rf_.png,640,640,True,train,1347291d5e2c446db4992123a5043745_png.rf.a9df759aa9a8f87c12d6bde2375ffb07.json,1347291d5e2c446db4992123a5043745_png.rf.a9df759aa9a8f87c12d6bde2375ffb07.jpg
lm_0009_1471ace366844312a1ea13281ccbb136_png_rf_,images/lm_0009_1471ace366844312a1ea13281ccbb136_png_rf_.jpg,masks_crown/lm_0009_1471ace366844312a1ea13281ccbb136_png_rf__crown.png,masks_root/lm_0009_1471ace366844312a1ea13281ccbb136_png_rf__root.png,masks_combined/lm_0009_1471ace366844312a1ea13281ccbb136_png_rf__combined.png,masks_multiclass/lm_0009_1471ace366844312a1ea13281ccbb136_png_rf_.png,640,640,True,train,1471ace366844312a1ea13281ccbb136_png.rf.5532c19126f247935f1c4b2db01aea12.json,1471ace366844312a1ea13281ccbb136_png.rf.5532c19126f247935f1c4b2db01aea12.jpg
lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70,images/lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70.jpg,masks_crown/lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70_crown.png,masks_root/lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70_root.png,masks_combined/lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70_combined.png,masks_multiclass/lm_0010_180_718_jpg_rf_7888f65efb9efb8ed0ed4fe70.png,640,640,True,train,180_718_jpg.rf.7888f65efb9efb8ed0ed4fe70bc86be1.json,180_718_jpg.rf.7888f65efb9efb8ed0ed4fe70bc86be1.jpg
lm_0011_249,images/lm_0011_249.jpg,masks_crown/lm_0011_249_crown.png,masks_root/lm_0011_249_root.png,masks_combined/lm_0011_249_combined.png,masks_multiclass/lm_0011_249.png,300,224,True,train,249.json,249.png
